,brand,title,url,price,star,starNum,feature,productDscrp,view_url
0,造訪 Dell 品牌旗艦店,"Dell 觸控螢幕 15.6 吋 Inspiron 筆記型電腦,附 Windows 11 Pro,全高清 IPS 顯示器,Intel 四核心 i5 處理器,20GB RAM,1TB SSD,HDMI,網路攝影機,黑色",https://www.amazon.com/-/zh_TW/sspa/click?ie=UTF8&spc=MTo0NjQ0NjIzMzM0MDc2NDk6MTY5NzA5MjM4MzpzcF9hdGY6MzAwMDYwMzcxODkzNTAyOjowOjo&url=%2FInspiron-%25E7%25AD%2586%25E8%25A8%2598%25E5%259E%258B%25E9%259B%25BB%25E8%2585%25A6-Windows-Intel-%25E7%25B6%25B2%25E8%25B7%25AF%25E6%2594%259D%25E5%25BD%25B1%25E6%25A9%259F%2Fdp%2FB0BXGDJGGG%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddell%26qid%3D1697092383%26refinements%3Dp_89%253Adell%26s%3Delectronics%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,649.99,4.2,11,"品牌: Dell
型號名稱: Dell Inspiron
螢幕尺寸: 15.6 Inches
顏色: 黑色
硬碟大小: 1 TB
CPU 型號: Core i5
已安裝隨機存取記憶體大小: 20 GB
作業系統: Windows 11 Pro
查看更多","顯示器:15.6 吋 FHD (1920 x 1080) 防眩光觸控螢幕 IPS 顯示器處理器:Intel 四核心 i5-1035G1 處理器(4 核心、6MB 快取、8 執行緒、1.0 GHz 的基本頻率、最高渦輪速度高達 3.6 GHz)記憶體:20GB DDR4 SDRAMHard Drive: 1TB SSLTB 加劇系統: 視窗 11 個專業觸控螢幕:YesScreen 解析度:1920 x 1080連接埠和插槽:2x USB 3.2 Gen 1 Type-A 1x USB 2.0 Type-A 1x SD 讀卡機 1x HDMI 輸出 1.4b 1x 耳機/麥克風組合插孔視訊:Intel UHD 圖形音訊:立體聲喇叭媒體硬碟:多格式 SD 媒體卡讀卡機光碟機光碟機光碟機:無。 連接性: 80 連接性: 2.11ac 1x1 WiFi 和藍牙內建 HD 網路攝像頭,附麥克風:Yes電池:3 芯、42 瓦時、集成電池藍牙:Yes重量:3.82 磅尺寸:14.11/英吋長 x 9.27/英吋寬 x 0.74/英吋高顏色:黑色",https://www.amazon.com/-/zh_TW/Inspiron-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Windows-Intel-%E7%B6%B2%E8%B7%AF%E6%94%9D%E5%BD%B1%E6%A9%9F/product-reviews/B0BXGDJGGG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1,造訪 Dell 品牌旗艦店,"Dell 2022 最新 Inspiron 15 筆記型電腦,15.6 吋 HD 顯示器,Intel Celeron N4020 處理器,16GB DDR4 RAM,1TB PCIe SSD,網路攝影機,HDMI,Wi-Fi,藍牙,Windows 11 Home 黑色",https://www.amazon.com/-/zh_TW/Inspiron-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Intel-Celeron-Windows/dp/B0B2KPXKJ7/ref=sr_1_2?keywords=dell&qid=1697092383&refinements=p_89%3Adell&s=electronics&sr=1-2,437.99,4.1,466,"品牌: Dell
型號名稱: Inspiron
螢幕尺寸: 15.6 Inches
顏色: 黑色
硬碟大小: 1 TB
CPU 型號: Celeron N4020
已安裝隨機存取記憶體大小: 16 GB
作業系統: Windows 11 Home
查看更多","主要特點和優點:
CPU:Intel Celeron N4020 雙核心處理器(2 核心、2 個執行緒、4MB 快取記憶體、1.1 GHz 的基本頻率高達 2.8GHz)
記憶體:高達 16GB DDR4 SDRAM
硬碟:高達 1TB PCIe NVMe M.2 固態硬碟。
作業系統:Windows 11 Home
顯示器:15.6 吋 HD (1366 x 768) 防眩光LED背光非觸控顯示器
螢幕解析度:1366 x 768
連接埠:
1 個 USB 2.0
2 個 USB 3.1 Gen 1
1 個 HDMI 1.4b
1 個耳機和麥克風組合
1 個電源插孔
媒體磁碟機:多格式 SD 媒體讀卡機
影片:Intel UHD 顯示卡
音訊:立體聲喇叭
光碟機:無
無線連接:802.11ac 1x1 Wi-Fi 和藍牙
內建 HD 網路攝影機,附麥克風:是
電池:3 芯、42 瓦時、集成電池
重量:4 磅
顏色:黑色",https://www.amazon.com/-/zh_TW/Inspiron-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Intel-Celeron-Windows/product-reviews/B0B2KPXKJ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
2,造訪 Amazon Renewed 品牌旗艦店,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/dp/B08BJDFZRF/ref=sr_1_3?keywords=dell&qid=1697092383&refinements=p_89%3Adell&s=electronics&sr=1-3,207.99,4.1,2702,"產品特定用途: 日常使用, 多媒體, 照片編輯
品牌: Dell
個人電腦設計類型: Computer Tower
作業系統: Windows 10
記憶體儲存容量: 1 TB
螢幕尺寸: 6.1 Inches
已安裝隨機存取記憶體大小: 32 GB
型號名稱: Optiplex
查看更多",,https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
3,造訪 Dell 品牌旗艦店,Dell 戴爾 XPS 8950 桌上型電腦 - 第 12 代 Intel Core i7-12700、32GB DDR5 RAM、512GB SSD + 1TB HDD、Intel UHD 770 圖形、Killer Wi-Fi 6、空氣冷卻、Windows 11 Pro - 黑色,https://www.amazon.com/-/zh_TW/Dell-8950-%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-i7-12700%E3%80%8132GB-6%E3%80%81%E7%A9%BA%E6%B0%A3%E5%86%B7%E5%8D%BB%E3%80%81Windows/dp/B09VR7ZJL1/ref=sr_1_4?keywords=dell&qid=1697092383&refinements=p_89%3Adell&s=electronics&sr=1-4,,3.8,243,"產品特定用途: 多媒體, 遊戲, 个人
品牌: Dell
個人電腦設計類型: Computer Tower
作業系統: Windows 11 Pro
記憶體儲存容量: 1000 GB
已安裝隨機存取記憶體大小: 32 GB
查看更多",,https://www.amazon.com/-/zh_TW/Dell-8950-%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-i7-12700%E3%80%8132GB-6%E3%80%81%E7%A9%BA%E6%B0%A3%E5%86%B7%E5%8D%BB%E3%80%81Windows/product-reviews/B09VR7ZJL1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
4,造訪 Amazon Renewed 品牌旗艦店,"Dell OptiPlex 電腦桌上型電腦 Intel Core i5 第三代 3.2 GHz,16GB RAM,2TB HDD,全新 22 吋 LED 顯示器,RGB 鍵盤和滑鼠,WiFi,Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/OptiPlex-%E9%9B%BB%E8%85%A6%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Intel-%E9%8D%B5%E7%9B%A4%E5%92%8C%E6%BB%91%E9%BC%A0-Windows/dp/B09TN242Q5/ref=sr_1_5?keywords=dell&qid=1697092383&refinements=p_89%3Adell&s=electronics&sr=1-5,198.0,3.8,2021,"產品特定用途: 遊戲
品牌: Dell
個人電腦設計類型: Computer Tower
作業系統: Windows 10 Pro
記憶體儲存容量: 2 TB
螢幕尺寸: 22
已安裝隨機存取記憶體大小: 16 GB
型號名稱: Optiplex
查看更多","- 全新 Dell 專業桌上型電腦 搭載 Intel Quad Core i5 3.2 GHz 處理器、16 GB RAM、2 TB 硬碟、Windows 10 Pro
- WiFi 轉接器 - USB WiFi
- 全新 22 吋 1080P FHD(1920x1080) LED 顯示器
- USB RGB 鍵盤
- USB RGB 滑鼠
- RGB 喇叭
每一個元件都經過完整的功能和相容性測試,以確保多年的持續性能和可靠性。 外部化妝品恢復到類似的新狀態,幾乎沒有看到以前使用的跡象。 Microsoft Windows 10 的全新真實安裝採用數位呈現的全新啟用授權,在首次使用時即可輕鬆安全地啟動。
PC 配置規格
-型號:Dell 專業桌上型電腦
- CPU:Intel Quad Core i5 處理器
- RAM:16 GB
- 硬碟:2 TB HDD SATA
- 作業系統:Windows 10 PRO
- USB:(6) USB 2.0 (2)USB 3.0 連接埠連接使用
- 網路:內建 Gigabit 網路轉接器
* 這款電腦套組將在您家門口,隨時開箱即用,包括所有必要的電纜。
這款 Dell 專業桌上型電腦最初專為企業環境中大量使用而設計,具有比任何典型零售型號更高品質、更先進的元件進行全面更新。 這款電腦非常適合商務、家庭和學校,由 Microsoft 授權翻新商進行專業翻新。",https://www.amazon.com/-/zh_TW/OptiPlex-%E9%9B%BB%E8%85%A6%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Intel-%E9%8D%B5%E7%9B%A4%E5%92%8C%E6%BB%91%E9%BC%A0-Windows/product-reviews/B09TN242Q5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
5,造訪 Dell 品牌旗艦店,Dell 戴爾 XPS 13 9310 觸控螢幕筆記型電腦 13.5 吋 FHD+ 輕薄。Intel Core i7-1195G7、16GB LPDDR4x RAM、512GB SSD、Intel Iris Xe Graphics、Windows 11 Pro、2 年上站、6 個月遷移 – 銀色,https://www.amazon.com/-/zh_TW/%E8%A7%B8%E6%8E%A7%E8%9E%A2%E5%B9%95%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-i7-1195G7%E3%80%8116GB-RAM%E3%80%81512GB-SSD%E3%80%81Intel-Graphics%E3%80%81Windows/dp/B09DFKQL8K/ref=sr_1_6?keywords=dell&qid=1697092383&refinements=p_89%3Adell&s=electronics&sr=1-6,,4.4,202,"品牌: Dell
型號名稱: Dell XPS
螢幕尺寸: 13.4 Inches
顏色: 銀色
硬碟大小: 512 GB
CPU 型號: Intel Core i7 1185G7
已安裝隨機存取記憶體大小: 12 MB
查看更多",,https://www.amazon.com/-/zh_TW/%E8%A7%B8%E6%8E%A7%E8%9E%A2%E5%B9%95%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-i7-1195G7%E3%80%8116GB-RAM%E3%80%81512GB-SSD%E3%80%81Intel-Graphics%E3%80%81Windows/product-reviews/B09DFKQL8K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
6,造訪 Dell 品牌旗艦店,"Dell 戴爾 UltraSharp U2723QE 27 吋 4K UHD WLED LCD 螢幕 - 16:9 - 黑色,銀色",https://www.amazon.com/-/zh_TW/Dell-UltraSharp-U2723QE-UHD-WLED/dp/B09TQZP9CL/ref=sr_1_7?keywords=dell&qid=1697092383&refinements=p_89%3Adell&s=electronics&sr=1-7,519.22,4.4,393,"螢幕尺寸: 27 Inches
顯示器解析度上限: 3840 x 2160 Pixels
品牌: Dell
特殊功能: 傾斜調整、旋轉調整、樞軸調整、高度調整、藍光濾鏡
更新率: 60 Hz","出色的視覺效果
卓越的對比度:在全球首款採用 IPS 黑色技術的 27 吋 4K 顯示器上,體驗令人難以置信的色彩和卓越的黑色性能。
增強眼睛舒適度
ComfortView Plus i - 一個始終開啟的內建低藍光螢幕 - 減少潛在有害藍光排放,而不會影響顏色。
真正閃耀
在這款 4K 顯示器上查看精細細節,使用 98% DCI-P3 和 VESA DisplayHDR™ 400 享受逼真的色彩。
您的連線中心
快速啟動生產力:使用 Power Sync 功能喚醒筆記型電腦並開啟電源。

增強連線能力:透過廣泛的連接連接埠,包括 USB-C (高達 90W 電源傳輸)、RJ45 (乙太網路)、DP1.4 和 HDMI,簡化您的工作空間。 快速存取 USB-C (高達 15W 的電源充電)和超高速 USB 10Gpbs 連接埠,可輕鬆連接和快速數據傳輸。

更有序的工作空間:單線 USB-C 連接提供連接到多供應商 USB-C 系統的靈活性,減少電纜雜亂,並實現從桌面快速轉換。

網路就緒:內建 MAC 位址直通、PXE Boot 和 Wake-on-LAN 網路喚醒功能增強管理性。
已解鎖生產力
多任務更好:連接到兩個 PC 電源,Auto KVM 將無縫切換到第二個連接的電腦。 使用 KVM (鍵盤、視訊和滑鼠) 功能來控制單一滑鼠和鍵盤的電腦。

在一個螢幕上查看更多內容:透過子母畫(PiP)和子母畫(PbP)檢視兩個 PC 來源的內容。

擴大您的生產力:透過菊花鏈接兩個 4K 顯示器體驗無與倫比的畫質。 U2723QE 是全球首款 27 吋 4K 顯示器,透過支援 USB-C 的顯示串流壓縮 (DSC) 以完整解析度連接額外的 4K 螢幕。
精心製作
設計目的:採用優質鉑金銀色表面和優雅的電纜管理系統,可減少雜亂,是專為任何工作空間而設計的螢幕。

易於使用:透過方便的操縱桿控制導航菜單並調整螢幕設置。
舒適設計
傾斜、旋轉、旋轉和調整螢幕高度,讓您無論您最舒適的工作方式。
Dell 顯示器管理器
每個層級都有生產力:Easy Arrange 可讓您輕鬆地在一個或多個螢幕上平鋪多個應用程式,並能夠個性化多達 5 個視窗,為您提供更好的多任務處理能力。",https://www.amazon.com/-/zh_TW/Dell-UltraSharp-U2723QE-UHD-WLED/product-reviews/B09TQZP9CL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
7,造訪 Amazon Renewed 品牌旗艦店,"Dell OptiPlex 7050 微型電腦,Intel 四核心 i5-6500T 高達 3.1GHz ,16G DDR4,256G SSD,Windows 10 Pro 64 位元多語言支援英文/西班牙文/法文(續約 ) )",https://www.amazon.com/-/zh_TW/OptiPlex-7050-i5-6500T-Windows-%E4%BD%8D%E5%85%83%E5%A4%9A%E8%AA%9E%E8%A8%80%E6%94%AF%E6%8F%B4%E8%8B%B1%E6%96%87/dp/B08GCX4JKJ/ref=sr_1_8?keywords=dell&qid=1697092383&refinements=p_89%3Adell&s=electronics&sr=1-8,132.98,4.1,295,"產品特定用途: Everyday Use
品牌: Dell
個人電腦設計類型: Mini PC
作業系統: Windows 10 Pro
記憶體儲存容量: 256 GB
已安裝隨機存取記憶體大小: 16 GB
型號名稱: OptiPlex 7050 Micro
查看更多",,https://www.amazon.com/-/zh_TW/OptiPlex-7050-i5-6500T-Windows-%E4%BD%8D%E5%85%83%E5%A4%9A%E8%AA%9E%E8%A8%80%E6%94%AF%E6%8F%B4%E8%8B%B1%E6%96%87/product-reviews/B08GCX4JKJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
8,造訪 Dell 品牌旗艦店,"Dell 戴爾 XPS 13 9310 筆記型電腦 - 13.5 吋 OLED 3.5K (3456x2160) 觸控螢幕顯示器,Intel Core i7-1195G7,16GB LPDDR4x RAM,512G SSD,Iris Xe Graphics,1 年頂級支援,Windows 11 Home - 白色",https://www.amazon.com/-/zh_TW/Dell-XPS-9310-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-3456x2160/dp/B09PR52BHK/ref=sr_1_9?keywords=dell&qid=1697092383&refinements=p_89%3Adell&s=electronics&sr=1-9,,4.1,29,"品牌: Dell
型號名稱: XPS9310-7321WHT-SUS
螢幕尺寸: 13.4 Inches
顏色: 白色
硬碟大小: 512 GB
CPU 型號: Core i7 Family
已安裝隨機存取記憶體大小: 16 GB
作業系統: Windows 11 Home
查看更多",,https://www.amazon.com/-/zh_TW/Dell-XPS-9310-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-3456x2160/product-reviews/B09PR52BHK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
9,造訪 Dell 品牌旗艦店,Dell 戴爾 Inspiron 15 3000 15.6 吋 Full HD 第 11 代 Intel Core i5-1135G7 12GB 256GB SSD 筆記型電腦,https://www.amazon.com/-/zh_TW/Inspiron-Intel-i5-1135G7-256GB-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6/dp/B095RZ62BX/ref=sr_1_10?keywords=dell&qid=1697092383&refinements=p_89%3Adell&s=electronics&sr=1-10,468.0,4.1,512,"品牌: Dell
型號名稱: Dell Inspiron
螢幕尺寸: 15.6 Inches
顏色: 黑色
硬碟大小: 256 GB
CPU 型號: Core i5
已安裝隨機存取記憶體大小: 12 GB
作業系統: Windows 10
查看更多","戴爾輕薄強大的筆記型電腦,隨時隨地實現更多目標。 Dell Inspiron 15 3000筆記型電腦配備強大的 Intel Core i5-1135G7 四核心處理器、12GB RAM 和 256GB SSD 儲存空間。 這款便攜式設備快速高效,配備 15.6 吋 Full HD IPS 顯示器。
卓越性能
有了第 11 代 Intel Core i5-1135G7 四核處理器和 12GB RAM 記憶體,您可以利用卓越的生產力,並繼續進行驚人的電池備份。
令人驚嘆的景觀
配備 15.6 吋 Full HD 1920x1080 IPS 顯示器,所有娛樂和創意項目都能閃耀。 編輯照片並以完美的清晰度串流媒體。
時尚設計
輕鬆將這款輕薄的 PC 從一個房間到另一個房間或路上。 隨身攜帶,看起來銳利。
規格
第 11 代 Intel Corei5-1135G7 四核處理器 2.4Ghz
12GB 2666DDR4 SDRAM
256GB 固態硬碟
15.6 吋 Full HD 1920x1080 IPS 顯示器
Intel Iris Xe Graphics
802.11ac 無線和藍牙
整合式立體聲喇叭
帶數字鍵盤的鍵盤
10/100/1000 Gigabit 乙太網路連接埠
整合式網路攝影機,附雙數位麥克風陣列
數位媒體閱讀器
耳機/麥克風組合插孔
3 合 1 SD 媒體讀卡機
2 個 USB 3.2 Type A 連接埠
1 個 USB 3.2 Type C 連接埠
1 個 USB 2.0
1 個 HDMI
3 芯鋰電池
Microsoft Windows 10 作業系統(S 模式)
表面處理:黑色",https://www.amazon.com/-/zh_TW/Inspiron-Intel-i5-1135G7-256GB-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6/product-reviews/B095RZ62BX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
