,brand,title,url,price,star,starNum,feature,productDscrp,view_url
0,造訪 HP 品牌旗艦店,"HP ProBook 440 G9 14 吋 FHD 筆記型電腦,適用於商務,Intel Core i5-1235U (10 個核心,高達 3.3 GHz,Beat i7-1195G7),8 GB RAM,512GB SSD,背光KB,WiFi-6,Type C,Windows 10 Pro,w/GM 配件",https://www.amazon.com/-/zh_TW/sspa/click?ie=UTF8&spc=MTo1MTczMDM3NzQ3MjY3NjQ5OjE2OTcwOTI3MTg6c3BfYXRmOjMwMDAyMTI5MzUzNjYwMjo6MDo6&url=%2FHP-ProBook-i5-1235U-i7-1195G7-Windows%2Fdp%2FB0CBCC28QP%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DHP%26qid%3D1697092718%26refinements%3Dp_89%253AHP%26s%3Delectronics%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,749.0,4.5,23,"品牌: HP
型號名稱: HP
螢幕尺寸: 14 Inches
顏色: G9
硬碟大小: 512 GB
CPU 型號: Core i5
已安裝隨機存取記憶體大小: 8 GB
作業系統: Windows 10 Pro
查看更多","我們銷售具有升級配置的電腦。 如果電腦有修改 (上面列出),則會開啟製造商盒以進行測試和檢查,並安裝升級,以達到廣告的規格。 如果已列出命名修改,則該商品未打開且未經測試。
操作系統:
Windows 10 Pro
處理器類型:
Intel Core i5-1235U(高達 4.4 GHz,12MB L3 快取記憶體,10 核心,12 執行緒)
SmartCache:
12 MB
GraphicsCoprocesser:
Intel Iris XGraphics
RAM 記憶體:
8 GB DDR4-3200 MHzRAM
硬碟容量:
512GB SSD
螢幕尺寸:
14 吋對角線、FHD (1920 x 1080)、IPS、窄邊框、防眩光、250nits、45% NTSC
無線技術:
Realtek Wi-Fi 6 (2x2) 和藍牙 5.3 無線卡
組裝產品尺寸(長 x 寬 x高):
12.2x8.4x2.0 英吋
連接埠和連接器:
1 個 USB 2.0(Type-A)
3 x USB 3.2(第 1 代 Type-A)
1 個 HDMI 2.1
1 個交流電
重量:
3 磅(約 1.4 公斤)",https://www.amazon.com/-/zh_TW/HP-ProBook-i5-1235U-i7-1195G7-Windows/product-reviews/B0CBCC28QP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1,造訪 HP 品牌旗艦店,"HP EliteBook 860 16"" WUXGA Business Laptop, Intel Core i5-1235U (10 Cores up to 3.3 GHz, Beat i7-1195G7), 16 GB DDR5 RAM, 1TB PCIe SSD, Fingerprint Reader, Backlit KB, Windows 11 Pro, w/GM Accessory",https://www.amazon.com/-/zh_TW/sspa/click?ie=UTF8&spc=MTo1MTczMDM3NzQ3MjY3NjQ5OjE2OTcwOTI3MTg6c3BfYXRmOjMwMDAyMDM5NDczNDkwMjo6MDo6&url=%2FHP%2Fdp%2FB0CBC3QMLZ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DHP%26qid%3D1697092718%26refinements%3Dp_89%253AHP%26s%3Delectronics%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,,No star,0,"品牌: HP
型號名稱: HP
螢幕尺寸: 16 Inches
硬碟大小: 1 TB
CPU 型號: Core i5
已安裝隨機存取記憶體大小: 16 GB
作業系統: Windows 11 Pro
顯示卡描述: Integrated
查看更多","We sells computers with upgraded configurations. If the computer has modifications (listed above), then the manufacturer box is opened for it to be tested and inspected and to install the upgrades to achieve the specifications as advertised. If no modifications are listed, the item is unopened and untested. Defects & blemishes are significantly reduced by our in depth inspection & testing
Operating System：
Windows 11 Pro
Processor Type:
Core i5-1235U (10 Cores, up to 3.3 GHz,12MB Intel smart cache, 12 threads)
Graphics Coprocessor:
Intel Iris Xe Graphics
RAM Memory:
16GB RAM
Hard Drive Capacity:
1TB PCIe NVMe SSD
Screen Size:
16"" diagonal, WUXGA (1920 x 1200), IPS, anti-glare, 100% sRGB
Wireless Technology:
IEEE 802.11ax (Wi-Fi 6E), IEEE 802.11ac, IEEE 802.11b, IEEE 802.11a, Bluetooth Dual-Mode, IEEE 802.11g, IEEE 802.11n
Assembled Product Dimensions (L x W x H):
14.10 x 9.90 x 0.80 Inches
Weight:
3.87 lb",No review
2,造訪 HP 品牌旗艦店,"HP 2022 Stream 14 吋 HD BrightView 筆記型電腦,Intel Celeron N4120,4GB RAM,64GB SSD,Intel HD 顯示卡 720p 網路攝影機,1 年 Office 365,金,Win 11,32GB 雪鈴 USB 卡",https://www.amazon.com/-/zh_TW/HP-Stream-BrightView-Celeron-Office/dp/B0BQ98FVP3/ref=sr_1_3?keywords=HP&qid=1697092718&refinements=p_89%3AHP&s=electronics&sr=1-3,259.0,4.1,1090,"品牌: HP
型號名稱: HP 2022 Stream
螢幕尺寸: 14 Inches
顏色: 玫瑰金
硬碟大小: 64 GB
CPU 型號: Celeron N
已安裝隨機存取記憶體大小: 4 GB
作業系統: Windows 11 S
查看更多",HP 筆記型電腦,https://www.amazon.com/-/zh_TW/HP-Stream-BrightView-Celeron-Office/product-reviews/B0BQ98FVP3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
3,造訪 HP 品牌旗艦店,HP 65 黑色墨水匣 | Works AMP 100 系列、DeskJet 2600、3700 系列、Envy 5000 系列 | 符合即時墨水 | N9K02AN(2 件裝),https://www.amazon.com/-/zh_TW/%E7%B3%BB%E5%88%97%E3%80%81DeskJet-2600%E3%80%813700-%E7%B3%BB%E5%88%97%E3%80%81Envy-%E7%AC%A6%E5%90%88%E5%8D%B3%E6%99%82%E5%A2%A8%E6%B0%B4-N9K02AN/dp/B0CFXFCNL6/ref=sr_1_4?keywords=HP&qid=1697092718&refinements=p_89%3AHP&s=electronics&sr=1-4,,4.7,88030,"品牌: HP
墨水顏色: 黑色
頁面產量: 120
相容性選項: OEM
顏色: 黑色",,https://www.amazon.com/-/zh_TW/%E7%B3%BB%E5%88%97%E3%80%81DeskJet-2600%E3%80%813700-%E7%B3%BB%E5%88%97%E3%80%81Envy-%E7%AC%A6%E5%90%88%E5%8D%B3%E6%99%82%E5%A2%A8%E6%B0%B4-N9K02AN/product-reviews/B0CFXFCNL6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
4,造訪 HP 品牌旗艦店,"HP 2023 最新 Envy 17T 頂級筆記型電腦,17.3 吋 FHD 觸控螢幕,Intel Core i7-13700H,64GB RAM,1TB SSD,網路攝影機,HDMI,Wi-Fi 6,背光鍵盤,Windows 11 家用,灰色",https://www.amazon.com/-/zh_TW/%E9%A0%82%E7%B4%9A%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Intel-i7-13700H-%E7%B6%B2%E8%B7%AF%E6%94%9D%E5%BD%B1%E6%A9%9F-Windows/dp/B0C9P3TRJQ/ref=sr_1_5?keywords=HP&qid=1697092718&refinements=p_89%3AHP&s=electronics&sr=1-5,,4.7,11,"品牌: HP
型號名稱: TPN-C160_537Z6AV
螢幕尺寸: 17.3 Inches
顏色: 灰色
硬碟大小: 1 TB
CPU 型號: Core i7 Family
已安裝隨機存取記憶體大小: 64 GB
作業系統: Windows 11 Home
查看更多",,https://www.amazon.com/-/zh_TW/%E9%A0%82%E7%B4%9A%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Intel-i7-13700H-%E7%B6%B2%E8%B7%AF%E6%94%9D%E5%BD%B1%E6%A9%9F-Windows/product-reviews/B0C9P3TRJQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
5,造訪 HP 品牌旗艦店,HP 適用於學生和企業的 HP 最新的 14 吋超輕筆記型電腦 Intel 四核心 N4120、8GB RAM、192GB 儲存空間(64GB eMMC+128GB Micro SD)、1 年 Office 365、網路攝影機、HDMI、WiFi、USB-A&C、Win 11 S,https://www.amazon.com/-/zh_TW/HP-%E9%81%A9%E7%94%A8%E6%96%BC%E5%AD%B8%E7%94%9F%E5%92%8C%E4%BC%81%E6%A5%AD%E7%9A%84-N4120%E3%80%818GB-RAM%E3%80%81192GB-365%E3%80%81%E7%B6%B2%E8%B7%AF%E6%94%9D%E5%BD%B1%E6%A9%9F%E3%80%81HDMI%E3%80%81WiFi%E3%80%81USB/dp/B0B2D77YB8/ref=sr_1_6?keywords=HP&qid=1697092718&refinements=p_89%3AHP&s=electronics&sr=1-6,299.99,4.3,516,"品牌: HP
型號名稱: HP 筆記型電腦
螢幕尺寸: 14 Inches
顏色: 雪花白色
硬碟大小: 64 GB
CPU 型號: Celeron N
已安裝隨機存取記憶體大小: 8 GB
作業系統: Windows 11 Home
查看更多","在 Windows 11 中切換 S 模式
Windows 11 吋 S 模式專為安全性和效能而設計,專門執行 Microsoft Store 的應用程式。 如果您想要安裝在 Microsoft Store 中不可用的應用程式,您需要切換 S 模式

1. 在執行 Windows 11 吋 S 模式的電腦上,開啟設定 > 系統 > 啟動。

2. 在「切換至 Windows 11 Pro」區段中,選取「前往商店」。 (如果您也看到「升級您的 Windows版本」區段,請注意不要按一下出現在那裡的「前往商店」連結。)

3. 在 Microsoft Store 中出現的 S 模式 (或類似) 頁面上,選取 [取得] 按鈕。 在頁面上看到確認訊息後,您可以從 Microsoft Store 外部安裝應用程式。

HP 14 吋筆記型電腦,適用於企業和學生:

時尚設計:輕鬆將這款輕薄的 PC 從一個房間到另一個房間或路上

雙陣列麥克風:配備 2 個麥克風和先進的降噪軟體,當您視訊聊天或錄製時,您將始終保持清晰

顯示器:14 吋對角線、HD (1366 x 768)、微邊緣、BrightView

處理器:Intel Celeron N4120、4 核心和 4 個執行緒

記憶體:8GB DDR4

儲存空間:64GB eMMC+128GB Micro SD

圖形:Intel UHD Graphics 600

操作系統: Windows 11 Home in S 模式

HP 快速充電:約 45 分鐘內可充電 0 至 50%

電池壽命:長達 11 小時 30 分鐘(影片播放);長達 9 小時(無線串流)

網路攝影機:HP True Vision 720p HD 攝影機搭配整合式雙陣列數位麥克風

連接性:802.11a/b/g/n/ac (2x2)(19a) Wi-Fi 和藍牙組合

尺寸:32.4 x 22.5 x 0.7 公分

重量:1.5 公斤",https://www.amazon.com/-/zh_TW/HP-%E9%81%A9%E7%94%A8%E6%96%BC%E5%AD%B8%E7%94%9F%E5%92%8C%E4%BC%81%E6%A5%AD%E7%9A%84-N4120%E3%80%818GB-RAM%E3%80%81192GB-365%E3%80%81%E7%B6%B2%E8%B7%AF%E6%94%9D%E5%BD%B1%E6%A9%9F%E3%80%81HDMI%E3%80%81WiFi%E3%80%81USB/product-reviews/B0B2D77YB8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
6,造訪 HP 品牌旗艦店,"HP 可攜式筆記型電腦(包括 1 年 Microsoft 365)、14 吋 HD 顯示器,16GB RAM、64GB eMMC、Intel 四核心 N4120、學生與企業、網路攝影機、HDMI、Wi-Fi、RJ-45、Windows 11 Home、粉紅色",https://www.amazon.com/-/zh_TW/%E5%8F%AF%E6%94%9C%E5%BC%8F%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Microsoft-RAM%E3%80%8164GB-eMMC%E3%80%81Intel-N4120%E3%80%81%E5%AD%B8%E7%94%9F%E8%88%87%E4%BC%81%E6%A5%AD%E3%80%81%E7%B6%B2%E8%B7%AF%E6%94%9D%E5%BD%B1%E6%A9%9F%E3%80%81HDMI%E3%80%81Wi-Fi%E3%80%81RJ-45%E3%80%81Windows/dp/B0CHHMH36M/ref=sr_1_7?keywords=HP&qid=1697092718&refinements=p_89%3AHP&s=electronics&sr=1-7,284.99,4.1,52,"品牌: HP
型號名稱: TPN-I130
螢幕尺寸: 14 Inches
顏色: 粉紅色
硬碟大小: 64 GB
CPU 型號: Celeron N
已安裝隨機存取記憶體大小: 16 GB
作業系統: Windows 11 Home
查看更多","主要特點和優點:
CPU:Intel Celeron N4120 處理器(4 個核心、4 個執行緒、1.1GHz 的基本頻率,最大渦輪頻率高達 2.6GHz)
記憶體:高達 16GB DDR4 RAM
硬碟:高達 64GB eMMC
作業系統:Windows 11 Home
顯示器:14 吋對角線、HD (1366 x 768)、微邊緣、BrightView、220 nits、45% NTSC
圖形:Intel UHD Graphics 600
連接埠:
2 x SuperSpeed USB Type-A
1 個 SuperSpeed USB Type-C
1 個 HDMI
1 個耳機/麥克風組合
1 個 AC 智慧型插針
1 個 RJ-45
媒體磁碟機:無
無線連接:Wi-Fi 和藍牙
網路攝影機:是
尺寸:12.76 英吋 x 8.86 英吋 x 0.71 英吋
重量:1.5 公斤
顏色:粉紅色",https://www.amazon.com/-/zh_TW/%E5%8F%AF%E6%94%9C%E5%BC%8F%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Microsoft-RAM%E3%80%8164GB-eMMC%E3%80%81Intel-N4120%E3%80%81%E5%AD%B8%E7%94%9F%E8%88%87%E4%BC%81%E6%A5%AD%E3%80%81%E7%B6%B2%E8%B7%AF%E6%94%9D%E5%BD%B1%E6%A9%9F%E3%80%81HDMI%E3%80%81Wi-Fi%E3%80%81RJ-45%E3%80%81Windows/product-reviews/B0CHHMH36M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
7,造訪 HP 品牌旗艦店,"HP 15 筆記型電腦,AMD Ryzen 3 3250U 處理器,8 GB RAM,256 GB SSD 儲存空間,15.6 吋 HD 微邊緣顯示器,Windows 11 家用,長效電池,快速充電,720p 網路攝影機(15-ef2024nr)",https://www.amazon.com/-/zh_TW/%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Ryzen-%E5%BE%AE%E9%82%8A%E7%B7%A3%E9%A1%AF%E7%A4%BA%E5%99%A8-Windows-15-ef2024nr/dp/B09J1PS4TG/ref=sr_1_8?keywords=HP&qid=1697092718&refinements=p_89%3AHP&s=electronics&sr=1-8,332.95,4.5,298,"品牌: HP
型號名稱: HP 筆記型電腦 15-ef2024nr
螢幕尺寸: 15 Inches
顏色: 天然銀色
硬碟大小: 256 GB
CPU 型號: Ryzen 3
已安裝隨機存取記憶體大小: 8 GB
作業系統: Windows 11 Home
查看更多",,https://www.amazon.com/-/zh_TW/%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Ryzen-%E5%BE%AE%E9%82%8A%E7%B7%A3%E9%A1%AF%E7%A4%BA%E5%99%A8-Windows-15-ef2024nr/product-reviews/B09J1PS4TG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
8,造訪 HP 品牌旗艦店,"HP 17 筆記型電腦,17.3 吋 HD+ 顯示器,第 11 代 Intel Core i3-1125G4 處理器,32GB RAM,1TB SSD,Wi-Fi,HDMI,網路攝影機,Windows 11 Home,銀色",https://www.amazon.com/-/zh_TW/%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Intel-i3-1125G4-Wi-Fi-Windows/dp/B0C3RNRB8W/ref=sr_1_9?keywords=HP&qid=1697092718&refinements=p_89%3AHP&s=electronics&sr=1-9,509.0,4.5,50,"品牌: HP
型號名稱: TPN-I139_320M3AV
螢幕尺寸: 17.3 Inches
顏色: 銀色
硬碟大小: 1 TB
CPU 型號: Core i3 Family
已安裝隨機存取記憶體大小: 32 GB
作業系統: Windows 11 Home
查看更多","主要特點和優點:
CPU:第 11 代 Intel Core i3-1125G4 處理器(4 個核心、8 個執行緒、8MB L3 智慧型快取記憶體、2.0 GHz 的時脈速度、最高渦輪頻率高達 3.7 GHz)
記憶體:高達 32GB DDR4 RAM
硬碟:高達 2TB PCIe NVMe M.2 固態硬碟。
作業系統:Windows 11 Home
圖形:Intel UHD 顯示卡
顯示器:17.3 吋對角線、HD+(1600 x 900)、防眩光、250 尼特、60% NTSC
背光鍵盤:否
連接埠:
1 個 SuperSpeed USB Type-C 5Gbps 訊號速率
2 x SuperSpeed USB Type-A 5Gbps 訊號速率
1 個 HDMI 1.4b
1 個耳機/麥克風組合
音訊:雙喇叭
網路攝影機:HP True Vision 720p HD 相機具備時間雜訊抑制和整合式雙陣列數位麥克風
無線連接:Wi-Fi 和藍牙
尺寸:16 x 10 x 0 英吋
重量:4.5 磅(約 2.1
顏色:銀色",https://www.amazon.com/-/zh_TW/%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Intel-i3-1125G4-Wi-Fi-Windows/product-reviews/B0C3RNRB8W/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
9,造訪 HP 品牌旗艦店,"HP 15.6 吋觸控螢幕最新旗艦 HD 筆記型電腦,Intel i3-1115G4 高達 4.1GHz (Beat i5-1035G4),16GB RAM,1TB NVMe SSD,快速充電,數字鍵盤,藍牙,Wi-Fi,HDMI,Win 11 Home S,w/GM 配件",https://www.amazon.com/-/zh_TW/%E5%90%8B%E8%A7%B8%E6%8E%A7%E8%9E%A2%E5%B9%95%E6%9C%80%E6%96%B0%E6%97%97%E8%89%A6-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-i3-1115G4-4-1GHz-i5-1035G4/dp/B0BYYYFM54/ref=sr_1_10?keywords=HP&qid=1697092718&refinements=p_89%3AHP&s=electronics&sr=1-10,459.99,4.5,105,"品牌: HP
型號名稱: HP
螢幕尺寸: 15.6 Inches
顏色: 觸控螢幕
硬碟大小: 1 TB
CPU 型號: Core i3-1115G4E
已安裝隨機存取記憶體大小: 16 GB
作業系統: Windows 11 Home
查看更多","微處理器:Intel Core i3-1115G4(採用 Intel Turbo Boost 技術,6 MB L3 快取記憶體、2 個核心、4 個執行緒)
晶片組:Intel 整合式 SoC
記憶體,標準:升級至 16 GB DDR4-3200 MHz RAM (1 x 8 GB)
視訊圖形:Intel UHD 顯示卡
整合式
硬碟:升級至 1TB PCIe NVMe M.2 SSD
光碟機:不含光碟機
顯示器:15.6 吋對角線、HD (1366 x 768)、觸控、微邊緣、BrightView、220 nits、45% NTSC
無線連接:Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi 和藍牙 5 組合
擴充槽:
1 個多格式 SD 媒體讀卡機
外部連接埠
1 個 SuperSpeed USB Type-C 5Gbps 訊號速率;
2 個 SuperSpeed USB Type-A 5Gbps 訊號速率;
1 個 HDMI 1.4b;1 個 AC 智慧型針腳;
1 個耳機/麥克風組合
最小尺寸(寬 x 深 x 高):35.85 x 9.5 x 1.79 公分
重量:1.69 公斤
電源供應器類型:45 W 智慧型交流電源適配器
電池類型:3 芯,41 Wh鋰離子電池
電池壽命混合使用:長達 8 小時 30 分鐘
影片播放電池壽命:長達 11 小時
網路攝影機:HP True Vision 720p HD 攝影機搭配整合式雙陣列數位麥克風
音訊:雙喇叭",https://www.amazon.com/-/zh_TW/%E5%90%8B%E8%A7%B8%E6%8E%A7%E8%9E%A2%E5%B9%95%E6%9C%80%E6%96%B0%E6%97%97%E8%89%A6-%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-i3-1115G4-4-1GHz-i5-1035G4/product-reviews/B0BYYYFM54/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
