,brand,title,url,price,star,starNum,feature,productDscrp,view_url
0,品牌：Dell,"Dell OptiPlex 7000 系列 7080 微型外型規格 迷你商務桌上型電腦 Intel Core i5-10500T 處理器 16GB RAM 256GB PCIe SSD,DisplayPort,RJ45,Wi-Fi 6,Windows 11 Pro,黑色",https://www.amazon.com/-/zh_TW/sspa/click?ie=UTF8&spc=MTo3NjE2OTc3Mjk0NzczNjUwOjE2OTcxNjUyNzE6c3BfYXRmOjMwMDA1NDIxMzAyOTgwMjo6MDo6&url=%2FOptiPlex-7080-%25E8%25BF%25B7%25E4%25BD%25A0%25E5%2595%2586%25E5%258B%2599%25E6%25A1%258C%25E4%25B8%258A%25E5%259E%258B%25E9%259B%25BB%25E8%2585%25A6-i5-10500T-DisplayPort%2Fdp%2FB0BWQ1PXL3%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddell%26qid%3D1697165271%26refinements%3Dp_89%253Adell%26s%3Delectronics%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,589.0,4.2,16,"產品特定用途: 商務
品牌: Dell
作業系統: Windows 11 Pro
記憶體儲存容量: 256 GB
螢幕尺寸: 7 Inches
已安裝隨機存取記憶體大小: 16 GB
型號名稱: OptiPlex
查看更多","主要特點和優點:
CPU:Intel Core i5-10500T 處理器(6 核心、12 個執行緒、12MB L3 快取記憶體、2.30GHz 的基本頻率、最高 3.80GHz 的渦輪頻率)
圖形:Intel UHD 顯示卡
記憶體:高達 64GB DDR4 SDRAM
硬碟:高達 1TB PCIe NVMe M.2 固態硬碟。
作業系統:Microsoft Windows 11 Pro
前端口:
1 個電源按鈕
1 個通用音訊插孔
1 條線輸出
1 個 USB 3.2 Gen2 Type-C 連接埠
1 個 USB 3.2 Gen2 Type-A 連接埠(附 PowerShare)
後端口:
1 個 RJ45
2 個 USB 3.2 Gen 1 Type-A 連接埠(1 個智慧型電源開啟)
2 個 USB 3.2 Gen 2 Type-A 連接埠
1 個肯辛頓鎖槽
2 個 DisplayPort 1.4
1 個電源連接 (DC-in)
光碟機: 無
無線連接:Wi-Fi 6 + 藍牙
尺寸:7.2 x 7.7 x 1.4 英吋
重量:3 磅(約 1.3 公斤)",https://www.amazon.com/-/zh_TW/OptiPlex-7080-%E8%BF%B7%E4%BD%A0%E5%95%86%E5%8B%99%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-i5-10500T-DisplayPort/product-reviews/B0BWQ1PXL3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1,造訪 Dell 品牌旗艦店,"Dell 觸控螢幕 15.6 吋 Inspiron 商務筆記型電腦,附 Windows 11 Pro,全高清 IPS 顯示器,Intel Quad Core i5 處理器,12GB RAM,1TB SSD,HDMI,網路攝影機,黑色",https://www.amazon.com/-/zh_TW/sspa/click?ie=UTF8&spc=MTo3NjE2OTc3Mjk0NzczNjUwOjE2OTcxNjUyNzE6c3BfYXRmOjMwMDA2MDQ3MzMxMzIwMjo6MDo6&url=%2FInspiron-%25E5%2595%2586%25E5%258B%2599%25E7%25AD%2586%25E8%25A8%2598%25E5%259E%258B%25E9%259B%25BB%25E8%2585%25A6-Windows-Intel-%25E7%25B6%25B2%25E8%25B7%25AF%25E6%2594%259D%25E5%25BD%25B1%25E6%25A9%259F%2Fdp%2FB0C4BKLCSZ%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Ddell%26qid%3D1697165271%26refinements%3Dp_89%253Adell%26s%3Delectronics%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,599.99,4.1,6,"品牌: Dell
型號名稱: dell inspiron
螢幕尺寸: 15.6 Inches
顏色: 黑色
硬碟大小: 1 TB
CPU 型號: Core i5
已安裝隨機存取記憶體大小: 12 GB
作業系統: Windows 11 Pro
查看更多","顯示器:15.6 吋 FHD (1920 x 1080) 防眩光觸控螢幕 IPS 顯示器
處理器:第 11 代 Intel Core i5-1135G7 四核心處理器(8MB Intel 智慧快取,高達 4.20GHz)。
記憶體:12GB DDR4 SDRAM
硬碟:1TB SSD
操作系統: Windows 11 Professional
觸控螢幕:是
螢幕解析度:1920 x 1080
連接埠和插槽:
2 個 USB 3.2 Gen 1 Type-A
1 個 USB 2.0 Type-A
1 個 SD 讀卡機
1 個 HDMI 輸出 1.4b
1 個耳機/麥克風組合插孔
影片:Intel UHD 顯示卡
音訊:立體聲喇叭
媒體磁碟機:多格式 SD 媒體讀卡機
光碟機: 無
無線連接:802.11ac 1x1 WiFi 和藍牙
內建 HD 網路攝影機,附麥克風:是
電池:3 芯、42 瓦時、集成電池
藍牙:是
重量:3.5 磅(約 1.7
尺寸:長 14 吋 x 寬 9.5 吋 x 高 0.7 吋
顏色:黑色",https://www.amazon.com/-/zh_TW/Inspiron-%E5%95%86%E5%8B%99%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Windows-Intel-%E7%B6%B2%E8%B7%AF%E6%94%9D%E5%BD%B1%E6%A9%9F/product-reviews/B0C4BKLCSZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
2,造訪 Amazon Renewed 品牌旗艦店,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/dp/B08BJDFZRF/ref=sr_1_3?keywords=dell&qid=1697165271&refinements=p_89%3Adell&s=electronics&sr=1-3,207.98,4.1,2706,"產品特定用途: 日常使用, 多媒體, 照片編輯
品牌: Dell
個人電腦設計類型: Computer Tower
作業系統: Windows 10
記憶體儲存容量: 1 TB
螢幕尺寸: 6.1 Inches
已安裝隨機存取記憶體大小: 32 GB
型號名稱: Optiplex
查看更多",,https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
3,造訪 Dell 品牌旗艦店,"Dell 戴爾 Inspiron 15 3511 15.6 吋筆記型電腦,全高清 LED 非觸控 WVA 顯示器 - Intel Core i3-1115G4,8GB DDR4 RAM,256GB SSD,UHD 顯示卡,Windows 11 Home - 碳黑色",https://www.amazon.com/-/zh_TW/Dell-Inspiron-3511-15-6-%E5%90%8B%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6/dp/B09GYN91J9/ref=sr_1_4?keywords=dell&qid=1697165271&refinements=p_89%3Adell&s=electronics&sr=1-4,384.99,4.0,304,"品牌: Dell
型號名稱: Inspiron 15 3511
螢幕尺寸: 15.6 Inches
顏色: 黑色
硬碟大小: 256 GB
CPU 型號: Core i3 Family
已安裝隨機存取記憶體大小: 8 GB
作業系統: Windows 11 Home
查看更多","全新的 Inspiron 15 3511 非接觸式筆記型電腦專為保持連線而設計,由最新的 Intel® 處理器。 這款筆記型電腦採用再生塑膠,概述了您和環境。 此外,它的 Energy Star 8.0 認證,採用符合人體工學的升降鉸鏈設計,讓您整天舒適地連接。 Comfortview 低藍光解決方案有助於減少藍光產生的有害排放,並長時間持續的螢幕時間優化眼睛舒適度。 在 15.6 吋筆記型電腦中獲得更多螢幕,採用三面窄邊框,帶來身臨其境的 FHD 觀看體驗。 內建高畫質網路攝影機設計,讓您隨時隨地與社群連線。 這款筆記型電腦具有 ExpressCharge™ 功能,可最大限度地減少您連接到插座的時間,並在短時間內快速為您的電池充電。",https://www.amazon.com/-/zh_TW/Dell-Inspiron-3511-15-6-%E5%90%8B%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6/product-reviews/B09GYN91J9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
4,造訪 Amazon Renewed 品牌旗艦店,"Dell OptiPlex 電腦桌上型電腦 Intel Core i5 第三代 3.2 GHz,16GB RAM,2TB HDD,全新 22 吋 LED 顯示器,RGB 鍵盤和滑鼠,WiFi,Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/OptiPlex-%E9%9B%BB%E8%85%A6%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Intel-%E9%8D%B5%E7%9B%A4%E5%92%8C%E6%BB%91%E9%BC%A0-Windows/dp/B09TN242Q5/ref=sr_1_5?keywords=dell&qid=1697165271&refinements=p_89%3Adell&s=electronics&sr=1-5,198.0,3.8,2021,"產品特定用途: 遊戲
品牌: Dell
個人電腦設計類型: Computer Tower
作業系統: Windows 10 Pro
記憶體儲存容量: 2 TB
螢幕尺寸: 22
已安裝隨機存取記憶體大小: 16 GB
型號名稱: Optiplex
查看更多","- 全新 Dell 專業桌上型電腦 搭載 Intel Quad Core i5 3.2 GHz 處理器、16 GB RAM、2 TB 硬碟、Windows 10 Pro
- WiFi 轉接器 - USB WiFi
- 全新 22 吋 1080P FHD(1920x1080) LED 顯示器
- USB RGB 鍵盤
- USB RGB 滑鼠
- RGB 喇叭
每一個元件都經過完整的功能和相容性測試,以確保多年的持續性能和可靠性。 外部化妝品恢復到類似的新狀態,幾乎沒有看到以前使用的跡象。 Microsoft Windows 10 的全新真實安裝採用數位呈現的全新啟用授權,在首次使用時即可輕鬆安全地啟動。
PC 配置規格
-型號:Dell 專業桌上型電腦
- CPU:Intel Quad Core i5 處理器
- RAM:16 GB
- 硬碟:2 TB HDD SATA
- 作業系統:Windows 10 PRO
- USB:(6) USB 2.0 (2)USB 3.0 連接埠連接使用
- 網路:內建 Gigabit 網路轉接器
* 這款電腦套組將在您家門口,隨時開箱即用,包括所有必要的電纜。
這款 Dell 專業桌上型電腦最初專為企業環境中大量使用而設計,具有比任何典型零售型號更高品質、更先進的元件進行全面更新。 這款電腦非常適合商務、家庭和學校,由 Microsoft 授權翻新商進行專業翻新。",https://www.amazon.com/-/zh_TW/OptiPlex-%E9%9B%BB%E8%85%A6%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Intel-%E9%8D%B5%E7%9B%A4%E5%92%8C%E6%BB%91%E9%BC%A0-Windows/product-reviews/B09TN242Q5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
5,造訪 Dell 品牌旗艦店,"Dell 戴爾 27 吋螢幕 FHD (1920 x 1080) 16:9 與 Comfortview (經 UV 認證),75Hz 刷新率,16.7 百萬種顏色,防眩光螢幕,3H 硬度,黑色 - SE2722HX",https://www.amazon.com/-/zh_TW/Dell-%E5%90%8B%E8%9E%A2%E5%B9%95-FHD-1920-1080/dp/B096MYB1H1/ref=sr_1_6?keywords=dell&qid=1697165271&refinements=p_89%3Adell&s=electronics&sr=1-6,149.99,4.6,2615,"螢幕尺寸: 27 Inches
顯示器解析度上限: 1920 x 1080
品牌: Dell
特殊功能: 無閃爍, 傾斜調整, 上下傾斜, 無模糊, 不閃屏, 防眩光。
更新率: 75 Hz",,https://www.amazon.com/-/zh_TW/Dell-%E5%90%8B%E8%9E%A2%E5%B9%95-FHD-1920-1080/product-reviews/B096MYB1H1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
6,造訪 Dell 品牌旗艦店,Dell 戴爾 XPS 8950 桌上型電腦 - 第 12 代 Intel Core i7-12700、32GB DDR5 RAM、512GB SSD + 1TB HDD、Intel UHD 770 圖形、Killer Wi-Fi 6、空氣冷卻、Windows 11 Pro - 黑色,https://www.amazon.com/-/zh_TW/Dell-8950-%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-i7-12700%E3%80%8132GB-6%E3%80%81%E7%A9%BA%E6%B0%A3%E5%86%B7%E5%8D%BB%E3%80%81Windows/dp/B09VR7ZJL1/ref=sr_1_7?keywords=dell&qid=1697165271&refinements=p_89%3Adell&s=electronics&sr=1-7,,3.8,243,"產品特定用途: 多媒體, 遊戲, 个人
品牌: Dell
個人電腦設計類型: Computer Tower
作業系統: Windows 11 Pro
記憶體儲存容量: 1000 GB
已安裝隨機存取記憶體大小: 32 GB
查看更多",,https://www.amazon.com/-/zh_TW/Dell-8950-%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-i7-12700%E3%80%8132GB-6%E3%80%81%E7%A9%BA%E6%B0%A3%E5%86%B7%E5%8D%BB%E3%80%81Windows/product-reviews/B09VR7ZJL1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
7,造訪 Dell 品牌旗艦店,Dell 戴爾 USB 3.0 Ultra HD/4K 三重顯示基座（D3100），黑色,https://www.amazon.com/-/zh_TW/Dell-USB-3-0-Ultra-%E4%B8%89%E9%87%8D%E9%A1%AF%E7%A4%BA%E5%9F%BA%E5%BA%A7%EF%BC%88D3100%EF%BC%89%EF%BC%8C%E9%BB%91%E8%89%B2/dp/B00O0M46KO/ref=sr_1_8?keywords=dell&qid=1697165271&refinements=p_89%3Adell&s=electronics&sr=1-8,,4.5,9694,"品牌: Dell
顏色: 黑色
硬體介面: USB
相容裝置: Dell 筆記型電腦/平板電腦
USB 連接埠總數: 5
商品尺寸，長 x 寬 x 高: 52.6 x 38.1 x 28.4 公分
查看更多",,https://www.amazon.com/-/zh_TW/Dell-USB-3-0-Ultra-%E4%B8%89%E9%87%8D%E9%A1%AF%E7%A4%BA%E5%9F%BA%E5%BA%A7%EF%BC%88D3100%EF%BC%89%EF%BC%8C%E9%BB%91%E8%89%B2/product-reviews/B00O0M46KO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
8,造訪 Amazon Renewed 品牌旗艦店,"Dell OptiPlex 7050 微型電腦,Intel 四核心 i5-6500T 高達 3.1GHz ,16G DDR4,256G SSD,Windows 10 Pro 64 位元多語言支援英文/西班牙文/法文(續約 ) )",https://www.amazon.com/-/zh_TW/OptiPlex-7050-i5-6500T-Windows-%E4%BD%8D%E5%85%83%E5%A4%9A%E8%AA%9E%E8%A8%80%E6%94%AF%E6%8F%B4%E8%8B%B1%E6%96%87/dp/B08GCX4JKJ/ref=sr_1_9?keywords=dell&qid=1697165271&refinements=p_89%3Adell&s=electronics&sr=1-9,132.98,4.1,296,"產品特定用途: Everyday Use
品牌: Dell
個人電腦設計類型: Mini PC
作業系統: Windows 10 Pro
記憶體儲存容量: 256 GB
已安裝隨機存取記憶體大小: 16 GB
型號名稱: OptiPlex 7050 Micro
查看更多",,https://www.amazon.com/-/zh_TW/OptiPlex-7050-i5-6500T-Windows-%E4%BD%8D%E5%85%83%E5%A4%9A%E8%AA%9E%E8%A8%80%E6%94%AF%E6%8F%B4%E8%8B%B1%E6%96%87/product-reviews/B08GCX4JKJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
9,造訪 Dell 品牌旗艦店,Dell UltraSharp U3423WE 34 吋 WQHD 曲面螢幕 WLED LCD 螢幕 - 21:9,https://www.amazon.com/-/zh_TW/Dell-UltraSharp-U3423WE-WQHD-%E6%9B%B2%E9%9D%A2%E8%9E%A2%E5%B9%95/dp/B0BJZ3YNN5/ref=sr_1_10?keywords=dell&qid=1697165271&refinements=p_89%3Adell&s=electronics&sr=1-10,644.11,5.0,2,"螢幕尺寸: 34.1 Inches
顯示器解析度上限: 3440 x 1440 Pixels
品牌: Dell
特殊功能: 旋轉調整, USB埠, 高度調整, 內置揚聲器, 曲面, 傾斜度調整
更新率: 80 Hz",,https://www.amazon.com/-/zh_TW/Dell-UltraSharp-U3423WE-WQHD-%E6%9B%B2%E9%9D%A2%E8%9E%A2%E5%B9%95/product-reviews/B0BJZ3YNN5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
