,theproduct,theCommenturl,who,star,thetime,location,SKU,comment,helpful,sku
0,"Dell OptiPlex 7000 系列 7080 微型外型規格 迷你商務桌上型電腦 Intel Core i5-10500T 處理器 16GB RAM 256GB PCIe SSD,DisplayPort,RJ45,Wi-Fi 6,Windows 11 Pro,黑色",https://www.amazon.com/-/zh_TW/OptiPlex-7080-%E8%BF%B7%E4%BD%A0%E5%95%86%E5%8B%99%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-i5-10500T-DisplayPort/product-reviews/B0BWQ1PXL3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,John T.,4.0,2023-09-15 00:00:00,美國,,Could use a longer antenna to increase Wi-Fi range.,0,尺寸: 16GB RAM | 256GB SSD
1,"Dell OptiPlex 7000 系列 7080 微型外型規格 迷你商務桌上型電腦 Intel Core i5-10500T 處理器 16GB RAM 256GB PCIe SSD,DisplayPort,RJ45,Wi-Fi 6,Windows 11 Pro,黑色",https://www.amazon.com/-/zh_TW/OptiPlex-7080-%E8%BF%B7%E4%BD%A0%E5%95%86%E5%8B%99%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-i5-10500T-DisplayPort/product-reviews/B0BWQ1PXL3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Anthony Scott,4.0,2023-07-31 00:00:00,美國,,this is a great micro format computer. the software; ask questions. seller made good on correcting software issue. thank you,0,尺寸: 16GB RAM | 1TB SSD
2,"Dell OptiPlex 7000 系列 7080 微型外型規格 迷你商務桌上型電腦 Intel Core i5-10500T 處理器 16GB RAM 256GB PCIe SSD,DisplayPort,RJ45,Wi-Fi 6,Windows 11 Pro,黑色",https://www.amazon.com/-/zh_TW/OptiPlex-7080-%E8%BF%B7%E4%BD%A0%E5%95%86%E5%8B%99%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-i5-10500T-DisplayPort/product-reviews/B0BWQ1PXL3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jennifer Harvell,5.0,2023-08-17 00:00:00,美國,,"I had one of these micro pc's at work and loved it so I ordered one for my personal use at home. I can't say how it is for gaming, since that's not what I do. It's quiet, and fits perfectly on my small desk. I hope I have to never use tech support, but I did buy the 3-year warranty as well.",0,尺寸: 32GB RAM | 1TB SSD
3,"Dell OptiPlex 7000 系列 7080 微型外型規格 迷你商務桌上型電腦 Intel Core i5-10500T 處理器 16GB RAM 256GB PCIe SSD,DisplayPort,RJ45,Wi-Fi 6,Windows 11 Pro,黑色",https://www.amazon.com/-/zh_TW/OptiPlex-7080-%E8%BF%B7%E4%BD%A0%E5%95%86%E5%8B%99%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-i5-10500T-DisplayPort/product-reviews/B0BWQ1PXL3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,DAVID M. CHANDLER,5.0,2023-07-21 00:00:00,美國,,The computer is mighty enough to handle anything I need and small enough to fit any limited space I have.,0,尺寸: 16GB RAM | 512GB SSD
4,"Dell OptiPlex 7000 系列 7080 微型外型規格 迷你商務桌上型電腦 Intel Core i5-10500T 處理器 16GB RAM 256GB PCIe SSD,DisplayPort,RJ45,Wi-Fi 6,Windows 11 Pro,黑色",https://www.amazon.com/-/zh_TW/OptiPlex-7080-%E8%BF%B7%E4%BD%A0%E5%95%86%E5%8B%99%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-i5-10500T-DisplayPort/product-reviews/B0BWQ1PXL3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Somerset C.,2.0,2023-08-01 00:00:00,美國,,"I ordered 8 of these computers and they all have had the keyboard/mouse removed and a random 3rd party's mousepad placed inside. The computers all have a custom Windows 11 Pro image on them. None of the Dell tools are there. This made me uncomfortable so I booted to a Windows USB, deleted all the current partitions, and installed my own copy of Windows Pro. Thankfully, the OS activated just fine on it's own, from the hardware, and the computers are legit looking aside from a Polycom support sticker that says call for service. The mousepad says pconline365.com. So definitely some strangeness here, but after the fresh Windows install everything is probably OK. Also, Dell OEM sticker removed from the cardboard packaging when we got them.",1,尺寸: 16GB RAM | 512GB SSD
5,"Dell OptiPlex 7000 系列 7080 微型外型規格 迷你商務桌上型電腦 Intel Core i5-10500T 處理器 16GB RAM 256GB PCIe SSD,DisplayPort,RJ45,Wi-Fi 6,Windows 11 Pro,黑色",https://www.amazon.com/-/zh_TW/OptiPlex-7080-%E8%BF%B7%E4%BD%A0%E5%95%86%E5%8B%99%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-i5-10500T-DisplayPort/product-reviews/B0BWQ1PXL3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,A,1.0,2023-09-14 00:00:00,美國,,It was not “New” like advertised and after 2 or 3 days it said it needed updates and then a BLUE screen appeared and the PC does not work. I cannot get the Seller on the phone and Amazon offered a replacement in weeks! I asked for a refund instead but they will only issue if I purchase new item from same seller the same item like a replacement. I am NOT happy I spent extra for a new PC and got a used one. I figure it out when we called Dell and it belonged to Department of Defense. I do not recommend this seller.,0,尺寸: 16GB RAM | 512GB SSD
6,"Dell 觸控螢幕 15.6 吋 Inspiron 商務筆記型電腦,附 Windows 11 Pro,全高清 IPS 顯示器,Intel Quad Core i5 處理器,12GB RAM,1TB SSD,HDMI,網路攝影機,黑色",https://www.amazon.com/-/zh_TW/Inspiron-%E5%95%86%E5%8B%99%E7%AD%86%E8%A8%98%E5%9E%8B%E9%9B%BB%E8%85%A6-Windows-Intel-%E7%B6%B2%E8%B7%AF%E6%94%9D%E5%BD%B1%E6%A9%9F/product-reviews/B0C4BKLCSZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kenneth U.,5.0,2023-07-11 00:00:00,美國,,"This Dell notebook was just what was needed to replace an older Dell notebook that was slowing down due to age and limited memory and storage. A plus is the touch screen, and the SSD drive storage. Very reasonable price.",5,樣式: 12GB RAM | 1TB SSD
7,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Lynn,5.0,2023-10-07 00:00:00,美國,,"When I read the reviews on this I thought they were good and so I went and bought the product thinking I’d be able to use it for school AND gaming but it only works well enough to do school work on it because it doesn’t have a GPU which is the graphics card to be able to run games properly. I downloaded roblox to test it after finding that out and it was VERY laggy like it was a 10+ year old computer. So I definitely wouldn’t buy this product so you won’t get ripped off your money even though it’s not that much. If you want a computer to use for games as well I’d save up and get one that’s WAY better but you’d probably have to spend about 1,000-2,000. I’ll be adding a 5 star review so that people can see this but DO. NOT. BUY. THIS. PRODUCT.",7,"樣式: RGB Gaming GT 1030 + 24"" FHD LED"
8,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mikey Holt,4.0,2023-10-04 00:00:00,美國,,The computer is nice!! Perfect for our 11 year old that we purchased this for. When we received the computer and hooked it up we were having issues with the monitor connecting. We called the customer support line and talked to Ryan at SJ computers and he was amazing!! He talked my wife through troubleshooting and doing a hard reset on the tower and got everything working for us. Very happy with this purchase and the help already received. Only issue after all that is that the fan is a little loud in the tower.,2,"樣式: RGB Gaming GT 1030 + 24"" FHD LED"
9,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,LAMurakami,5.0,2023-09-12 00:00:00,美國,,"I bought this Amazon Renewed PC in 2023 with Windows 10 Pro, 32G of RAM and a 1T SSD for $187.99 with free shipping.
I found a 2015 PCMag review of a Dell Optiplex 9020 with a MSRP of $989.00 8G or RAM and a 128G SSD drive.
The Dell Optiplex 9020 was originally sold with Windows 8.1 Pro installed but included the option to downgrade to Windows 7 Pro.
The BIOS has a 2019 date but I believe this was replaced along with the OS, RAM and SSD drive.
The Intel Core i7-4770 CPU was first released in 2014. It's a 4th. gen Intel chip and in 2023 we are up to the 13th gen. The Intel Core i7-4770 CPU is not on the list of acceptable CPUs for Windows 11 so the OS cannot be upgraded to Windows 11 and will loose Microsoft support in October of 2025 in only a couple of years.
I believe this PC was originally sold 5 to 9 years ago before substantial upgrades that were part of making it an Amazon Renewed PC in 2023.

I shrunk the Windows 10 partition and made the PC a Dual Boot Machine that will primarily run the latest version of Linux Mint which I believe will support this older CPU for years.

It came with a VGA port two DisplayPort connectors and a DiplayPort to HDMI adapter and can drive three displays at once.

I did not use the keyboard and mouse that came with the computer as I was replacing a computer connected to a KVM (Keyboard, Video, Mouse) switch.

I have found no defect so far and the case looked new when I opened the box. Although I know the case and CPU are old and windows tells me it can't be upgraded to Windows 11 I am really happy with this purchase.",38,樣式: Intel Core i7-4770 | 無光學
