ProdNames,Prices,sales
【DELL 戴爾】15吋i7獨顯MX輕薄筆電(Inspiron/15-3530-R2728STW/i7-1355U/16G/512G/MX550/Win11/銀河星跡),"$29,999",總銷量>50
【DELL 戴爾】SE2422H-4Y 24型 VA 薄邊框電腦螢幕-四年保固(FreeSync/75Hz/TUV護眼),"$3,400",總銷量>100
【DELL 戴爾】i5十核桌上型電腦(Inspiron 3020T/i5-13400/8G/256G+1TB/W11),"$23,990",總銷量>100
【DELL 戴爾】U2422H-4Y 24型 IPS 窄邊美型螢幕(Type-C/樞紐旋轉),"$6,988",總銷量>100
【DELL 戴爾】P2422H-4Y 24型 IPS 窄邊框美型螢幕-四年保固(樞紐旋轉),"$5,988",總銷量>100
【DELL 戴爾】13代i7十六核心桌上型電腦(3020S-R3708BTW/i7-13700/16G/1TB/W11),"$25,999",
【DELL 戴爾】14吋i5 2-in-1輕薄筆電(Inspiron 14/14-7430-R1508STTW/i5-1335U/16G/512G/Win11/銀河星跡),"$32,999",
【DELL 戴爾】i3四核商用電腦(Vostro Small 3020/i3-13100/8G/256G+1TB/W11P),"$16,999",
【DELL 戴爾】14吋i7輕薄筆電(Inspiron/14-5430-R1708STW-4Y/i7-1360P/16G/512G/W11/銀河星跡),"$36,999",
【DELL 戴爾】SE2722H-4Y 27型 VA 薄邊框電腦螢幕-四年保固(FreeSync/75Hz/TUV護眼),"$3,988",總銷量>100
【DELL 戴爾】SE2222H-4Y 22型 VA 薄邊框電腦螢幕-四年保固(60Hz/TUV護眼),"$3,088",總銷量>100
【DELL 戴爾】16吋i7輕薄筆電(Inspiron/16-5630-R3808STW/i7-1360P/16G/1TB/Win11/銀河星跡),"$37,990",
【DELL 戴爾】13吋i7 EVO輕薄筆電(Inspiron/13-5330-R2808PTW/i7-1360P/16G/1TB/Win11/淡粉),"$37,990",
【DELL 戴爾】16吋i5輕薄商務筆電 (Vostro 5000/V16-5630-R1608ATW/i5-1340P/16G/512G/Win11P/深空灰),"$33,990",
【DELL 戴爾】13吋i7 EVO輕薄筆電(Inspiron/13-5330-R2808STW/i7-1360P/16G/1TB/Win11/銀河星跡),"$37,990",
【DELL 戴爾】Inspiron 5000 14吋輕薄筆電-銀河星跡 14-5430-R1708STW(i7-1360P/16G/512G/Win11),"$33,990",
【DELL 戴爾】office 2021組★15吋i7獨顯MX輕薄筆電(Inspiron/15-3530-R2728STW/i7-1355U/16G/512G/MX550/W,"$36,990",總銷量>3萬
【DELL 戴爾】14吋i7輕薄筆電(Inspiron/14-5430-R3808STW/i7-1360P/16G/1TB/Win11/銀河星跡),"$37,990",
【DELL 戴爾】15.6吋i9輕薄筆電(XPS/XPS15-9530-R2988STTW/i9-13900H/32G/1TB/RTX4070/W11P/冰河銀),"$106,999",
【DELL 戴爾】DA305 USB Type-C 六合一 6合1 HUB 轉接器 轉接頭 da305 HDMI RJ-45 DP(高達90瓦的電力傳遞),"$2,950",
【DELL 戴爾】14吋i5輕薄筆電(Inspiron/14-5430-R1508STW-4Y/i5-1340P/16G/512G/W11/銀河星跡),"$32,999",
【DELL 戴爾】14吋i5輕薄筆電(Vostro/V14-3430-R1508ATW/i5-1335U/8G/512G/Win11P/泰坦灰),"$27,990",
【DELL 戴爾】D3100 媒體插槽座 USB3.0/USB2.0/HDMI,"$4,548",
